"","Label","Type","00- Reference model","01- Est M","02- Lorenzen M","03- OR M","04- Sex = 3, Est M","05- fix growth Est M","06- fix growth","07- Est Lmin","08- fix t0=0","09- Est CVlts","10- bio mat ogive","11- Fxnal mat ogive","12- Fec = ltwt","13- No rec devs","14- Full rec devs","15- Domed sel est"
"164",NA,"Late_RecrDev_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"165",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"166",NA,"InitF_seas_1_flt_1Trawl",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"167",NA,"InitF_seas_1_flt_2NonTRWL",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"168",NA,"InitF_seas_1_flt_3Recreational",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"169",NA,"LnQ_base_Tagging(4)",-5.59542,-5.39614,-5.58872,-5.8153,-5.49907,-6.10384,-7.37823,-5.65648,-6.03556,-5.7073,-5.61705,-5.58413,-5.59286,-5.53073,-5.60421,-5.50484
"170",NA,"LnQ_base_Nearshore_survey(5)",-6.66945,-6.42167,-6.56162,-7.13121,-6.80234,-6.7417,-8.23208,-7.35785,-7.45719,-6.96478,-6.94159,-6.80021,-6.84399,-6.14859,-6.87936,-6.80264
"171",NA,"Q_extraSD_Nearshore_survey(5)",0.119925,0.117547,0.109751,0.113193,0.121384,0.106285,0.0987571,0.115825,0.120459,0.113728,0.117328,0.116797,0.117346,0.13839,0.117371,0.111989
"172",NA,"LnQ_base_OCNMS(6)",-7.38641,-7.03142,-7.26429,-7.7623,-7.41404,-7.11593,-8.62673,-7.63832,-7.78304,-7.53071,-7.5622,-7.41757,-7.45443,-6.94318,-7.48364,-7.53371
"173",NA,"LnQ_base_OCNMS_YOY(7)",-6.5593,-6.1122,-7.08316,-6.96729,-6.5482,-5.36726,-7.00795,-6.63304,-6.95649,-6.58436,-6.62532,-6.56618,-6.5935,-6.51137,-6.59505,-6.60472
"174",NA,"Q_extraSD_OCNMS_YOY(7)",1.80083,1.82145,1.85777,1.79445,1.78107,1.99304,1.9484,1.82875,1.63696,1.80633,1.80436,1.805,1.80059,1.72398,1.78693,1.81256
"175",NA,"LnQ_base_Private_Boat(8)",-6.24349,-6.09304,-6.25794,-6.44239,-6.13016,-6.76409,-7.91661,-6.3103,-6.70462,-6.34551,-6.27702,-6.2506,-6.2574,-6.16836,-6.26585,-6.28489
"176",NA,"Q_extraSD_Private_Boat(8)",0.376871,0.430879,0.392626,0.309015,0.353122,0.372144,0.155084,0.338342,0.286145,0.345989,0.353236,0.372412,0.366378,0.416073,0.359969,0.351489
"177",NA,"LnQ_base_Charter(9)",-5.73231,-5.64806,-5.76721,-5.84265,-5.58529,-6.25528,-7.15381,-5.74837,-6.0667,-5.79729,-5.73534,-5.73395,-5.73302,-5.6883,-5.73367,-5.74248
"178",NA,"Q_extraSD_Charter(9)",0.138742,0.147158,0.129323,0.12674,0.144913,0.0765816,0.080938,0.13473,0.128387,0.12625,0.137152,0.138716,0.138405,0.150636,0.136294,0.132407
"179",NA,"Size_DblN_peak_Trawl(1)",50.0229,50.1034,49.6743,49.8984,50.1857,50.0657,49.7819,50.0083,49.5504,50.8984,50.0232,50.0221,50.0229,49.9455,50.0495,50.0026
"180",NA,"Size_DblN_top_logit_Trawl(1)",0.809232,0.65177,0.922797,0.866285,2.01369,-0.58173,-0.521305,0.78947,-0.411784,-0.170121,0.818662,0.808286,0.815329,0.818781,0.860738,0.788789
"181",NA,"Size_DblN_ascend_se_Trawl(1)",3.4629,3.48592,3.40622,3.43867,3.45844,3.67868,3.62831,3.46276,3.58842,3.54964,3.46241,3.46295,3.46256,3.44565,3.46523,3.46361
"182",NA,"Size_DblN_descend_se_Trawl(1)",2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
"183",NA,"Size_DblN_start_logit_Trawl(1)",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
"184",NA,"Size_DblN_end_logit_Trawl(1)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"185",NA,"Size_DblN_peak_NonTRWL(2)",48.8261,49.0319,48.1066,48.5338,49.2714,49.3137,47.2101,48.8124,46.7707,50.0845,48.8172,48.8201,48.82,48.9601,48.8,48.8188
"186",NA,"Size_DblN_top_logit_NonTRWL(2)",1.95482,-0.869773,2.09372,-0.543346,2.04107,2.05484,-1.44031,1.96745,-1.0281,1.95986,-0.688,-0.699751,-0.800634,2.04318,-0.817994,0.116222
"187",NA,"Size_DblN_ascend_se_NonTRWL(2)",4.30249,4.34255,4.19891,4.25692,4.30114,4.69227,4.44732,4.30246,4.38346,4.4121,4.30097,4.3018,4.30153,4.3028,4.29989,4.3055
"188",NA,"Size_DblN_descend_se_NonTRWL(2)",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-4.5
"189",NA,"Size_DblN_start_logit_NonTRWL(2)",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"190",NA,"Size_DblN_end_logit_NonTRWL(2)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.13582
"191",NA,"Size_DblN_peak_Recreational(3)",43.512,43.5666,43.3207,43.4196,43.9472,41.8658,41.2755,43.4598,41.5977,43.8476,43.487,43.5032,43.4977,43.6043,43.4905,43.4899
"192",NA,"Size_DblN_top_logit_Recreational(3)",-2.57276,2.48647,2.52811,-2.44754,2.48553,2.63541,-8.87761,2.50272,2.62226,2.50171,2.517,2.501,2.49888,2.50878,2.4958,-1.47548
"193",NA,"Size_DblN_ascend_se_Recreational(3)",3.65524,3.68292,3.5918,3.62887,3.75638,3.72508,3.59766,3.65214,3.59622,3.74009,3.65191,3.65458,3.6532,3.65001,3.65272,3.65758
"194",NA,"Size_DblN_descend_se_Recreational(3)",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-4.5
"195",NA,"Size_DblN_start_logit_Recreational(3)",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"196",NA,"Size_DblN_end_logit_Recreational(3)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.25162
"197",NA,"Size_DblN_peak_Tagging(4)",41.904,41.8165,41.5768,41.6087,41.7349,40.0046,40.0334,41.649,40.2998,41.8796,41.684,41.7064,41.6995,41.8462,41.6904,42.1469
"198",NA,"Size_DblN_top_logit_Tagging(4)",-5.33963,-4.23623,-3.21849,-3.27232,-3.555,-3.38165,-3.39516,-3.6255,-3.55024,-4.0746,-3.64872,-3.70655,-3.68659,-4.18599,-3.67418,-3.40016
"199",NA,"Size_DblN_ascend_se_Tagging(4)",3.50492,3.39559,3.3039,3.32177,3.34102,3.38458,3.34125,3.34248,3.35328,3.41558,3.34698,3.3534,3.35103,3.41918,3.34955,3.4156
"200",NA,"Size_DblN_descend_se_Tagging(4)",2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.94591
"201",NA,"Size_DblN_start_logit_Tagging(4)",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"202",NA,"Size_DblN_end_logit_Tagging(4)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1.70231
"203",NA,"SizeSel_P1_Nearshore_survey(5)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,"SizeSel_P2_Nearshore_survey(5)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,"Size_DblN_peak_OCNMS(6)",26.6504,26.307,28.3882,26.7048,26.6115,14.6966,15.004,10.7422,24.8244,26.0974,13.0434,26.5727,26.5459,28.884,26.446,10.7407
"206",NA,"Size_DblN_top_logit_OCNMS(6)",1.03612,0.752575,3.18402,3.23559,3.52173,1.66826,1.66174,3.88766,1.75854,3.56158,2.78443,3.5183,3.51561,3.12764,3.24189,1.70661
"207",NA,"Size_DblN_ascend_se_OCNMS(6)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"208",NA,"Size_DblN_descend_se_OCNMS(6)",1.32143,-4.5684,-4.48939,-4.49638,-4.49983,-4.50804,-4.50864,-4.49976,-4.48637,-4.50081,-4.49829,-4.49988,-4.50082,-4.32132,-4.50882,-4.49992
"209",NA,"Size_DblN_start_logit_OCNMS(6)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"210",NA,"Size_DblN_end_logit_OCNMS(6)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-0.149633
"211",NA,"SizeSel_P1_Private_Boat(8)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"212",NA,"SizeSel_P2_Private_Boat(8)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"213",NA,"SizeSel_P1_Charter(9)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"214",NA,"SizeSel_P2_Charter(9)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"215",NA,"Size_DblN_peak_Nearshore_survey(5)",NA,42.4607,42.0154,42.3012,42.6192,37.0995,36.8366,26.8485,39.9175,42.0559,42.3627,42.3673,42.3693,43.2146,42.4089,42.9573
"216",NA,"Size_DblN_top_logit_Nearshore_survey(5)",NA,-6.20989,-5.87128,-7.06823,-6.2458,-2.00935,-1.94217,0.0297244,-3.6803,-6.02818,-6.64072,-6.86005,-6.22219,-7.63417,-6.24941,-1.37563
"217",NA,"Size_DblN_ascend_se_Nearshore_survey(5)",NA,4.20448,4.061,4.17879,4.21085,3.64013,3.61778,-0.135614,4.12816,4.23161,4.21354,4.18836,4.19196,4.01775,4.20786,4.26886
"218",NA,"Size_DblN_descend_se_Nearshore_survey(5)",NA,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,-4.50396
"219",NA,"Size_DblN_start_logit_Nearshore_survey(5)",NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"220",NA,"Size_DblN_end_logit_Nearshore_survey(5)",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-0.774724
"221",NA,"NatM_Lorenzen_Fem_GP_1",NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,"NatM_Lorenzen_Mal_GP_1",NA,NA,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,"ForeRecr_2024",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,"ForeRecr_2025",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,"ForeRecr_2026",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,"ForeRecr_2027",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,"ForeRecr_2028",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,"ForeRecr_2029",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,"ForeRecr_2030",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,"ForeRecr_2031",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,"ForeRecr_2032",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,"ForeRecr_2033",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,"ForeRecr_2034",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,"Main_RecrDev_1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.181603,NA
"235",NA,"Main_RecrDev_1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.189128,NA
"236",NA,"Main_RecrDev_1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.196767,NA
"237",NA,"Main_RecrDev_1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.204888,NA
"238",NA,"Main_RecrDev_1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.21208,NA
"239",NA,"Main_RecrDev_1945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.218402,NA
"240",NA,"Main_RecrDev_1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.224085,NA
"241",NA,"Main_RecrDev_1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.228065,NA
"242",NA,"Main_RecrDev_1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.229575,NA
"243",NA,"Main_RecrDev_1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.229496,NA
"244",NA,"Main_RecrDev_1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.229194,NA
"245",NA,"Main_RecrDev_1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230113,NA
"246",NA,"Main_RecrDev_1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.234263,NA
"247",NA,"Main_RecrDev_1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.244828,NA
"248",NA,"Main_RecrDev_1954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.266825,NA
"249",NA,"Main_RecrDev_1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.301371,NA
"250","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,"SB0",943.875,851.568,788.082,932.281,1301.23,1630.93,2127.62,988.227,1250.61,982.032,1260.1,948.822,1751.07,802.936,921.438,970.705
"252",NA,"SSB_2023",426.151,273.294,284.646,603.693,550.671,542.449,2090.37,568.205,931.056,510.418,747.552,442.423,940.587,234.634,481.65,498.549
"253",NA,"Bratio_2023",0.451491,0.320931,0.361188,0.647544,0.423192,0.332602,0.98249,0.574975,0.744483,0.519757,0.593247,0.466287,0.537149,0.29222,0.522715,0.513595
"254",NA,"MSY_SPR",275.884,245.938,251.82,325.147,262.622,214.531,583.663,288.501,336.956,286.247,314.366,277.323,295.857,235.308,269.169,282.805
"255",NA,"F_SPR",0.0483459,0.0489859,0.0407037,0.0494047,0.0442282,0.0445759,0.0557412,0.0483928,0.0605532,0.0483005,0.059669,0.0483488,0.0543277,0.0482234,0.0483444,0.0484426
